# Species	Genes	Alg.-Conn.	chengduensis_protein.faa	ludwigii_protein.faa	oligotrophicus_protein.faa	sichuanensis_protein.faa	soli_protein.faa
5	5	0.98	WP_032638926.1	WP_014169180.1	WP_045286160.1	WP_045286160.1	WP_014069385.1
5	5	0.98	WP_032638995.1	WP_052445440.1	WP_155030878.1	WP_155030878.1	WP_014069426.1
5	5	0.98	WP_032639086.1	WP_040016992.1	WP_025757288.1	WP_025757288.1	WP_014069476.1
5	5	0.98	WP_032639301.1	WP_040017068.1	WP_155030930.1	WP_155030930.1	WP_014069609.1
5	5	0.98	WP_032639313.1	WP_040017072.1	WP_047958171.1	WP_047958171.1	WP_014069617.1
5	5	0.98	WP_032639321.1	WP_020884796.1	WP_047958173.1	WP_047958173.1	WP_041162026.1
5	5	0.98	WP_032639617.1	WP_032677867.1	WP_155030993.1	WP_155030993.1	WP_014069758.1
5	5	0.98	WP_032639652.1	WP_014169561.1	WP_025755825.1	WP_025755825.1	WP_014069775.1
5	5	0.98	WP_032639659.1	WP_032681257.1	WP_045284999.1	WP_045284999.1	WP_014069779.1
5	5	0.98	WP_032639690.1	WP_040017152.1	WP_025758151.1	WP_025758151.1	WP_014069805.1
5	5	0.98	WP_032639794.1	WP_020884441.1	WP_025759332.1	WP_025759332.1	WP_014069851.1
5	5	0.98	WP_032639854.1	WP_040017248.1	WP_155031027.1	WP_155031027.1	WP_014069888.1
5	5	0.98	WP_032639883.1	WP_040017261.1	WP_025757337.1	WP_025757337.1	WP_014069907.1
5	5	0.98	WP_032639896.1	WP_020884385.1	WP_155031044.1	WP_155031044.1	WP_014069919.1
5	5	0.98	WP_032639937.1	WP_020884363.1	WP_095451458.1	WP_095451458.1	WP_014069936.1
5	5	0.98	WP_032640162.1	WP_014170051.1	WP_025756424.1	WP_025756424.1	WP_014070289.1
5	5	0.98	WP_032640391.1	WP_020884240.1	WP_045286536.1	WP_045286536.1	WP_014070176.1
5	5	0.98	WP_032640493.1	WP_014169859.1	WP_059385287.1	WP_059385287.1	WP_014070054.1
5	5	0.98	WP_032640828.1	WP_040017595.1	WP_155031254.1	WP_155031254.1	WP_014070431.1
5	5	0.98	WP_032640896.1	WP_014170325.1	WP_047958797.1	WP_047958797.1	WP_014070471.1
5	5	0.98	WP_032641023.1	WP_020882385.1	WP_095451169.1	WP_095451169.1	WP_014070530.1
5	5	0.98	WP_032641048.1	WP_020882362.1	WP_155031308.1	WP_155031308.1	WP_014070554.1
5	5	0.98	WP_032641074.1	WP_040017711.1	WP_095441639.1	WP_095441639.1	WP_014070575.1
5	5	0.98	WP_032641380.1	WP_020883361.1	WP_104557206.1	WP_104557206.1	WP_014070741.1
5	5	0.98	WP_032641623.1	WP_014170812.1	WP_045285625.1	WP_045285625.1	WP_014070927.1
5	5	0.98	WP_032641625.1	WP_040017952.1	WP_025758738.1	WP_025758738.1	WP_014070928.1
5	5	0.98	WP_032641711.1	WP_014170865.1	WP_155031477.1	WP_155031477.1	WP_041162092.1
5	5	0.98	WP_032641743.1	WP_040017982.1	WP_047959093.1	WP_047959093.1	WP_014071005.1
5	5	0.98	WP_032641823.1	WP_014170936.1	WP_008500952.1	WP_008500952.1	WP_014071058.1
5	5	0.98	WP_032641969.1	WP_008502875.1	WP_045285783.1	WP_045285783.1	WP_014071115.1
5	5	0.98	WP_032642004.1	WP_020883127.1	WP_008502591.1	WP_008502591.1	WP_014071133.1
5	5	0.98	WP_032642026.1	WP_014171043.1	WP_155031515.1	WP_155031515.1	WP_014071151.1
5	5	0.98	WP_032642140.1	WP_025202984.1	WP_025758550.1	WP_025758550.1	WP_014071818.1
5	5	0.98	WP_032642211.1	WP_040018792.1	WP_155031766.1	WP_155031766.1	WP_014071819.1
5	5	0.98	WP_032642338.1	WP_013098912.1	WP_013098912.1	WP_013098912.1	WP_014071897.1
5	5	0.98	WP_032642869.1	WP_020883908.1	WP_155031577.1	WP_155031577.1	WP_014071414.1
5	5	0.98	WP_032643202.1	WP_020883772.1	WP_025757800.1	WP_025757800.1	WP_014071606.1
5	5	0.98	WP_032643223.1	WP_014171479.1	WP_155031672.1	WP_155031672.1	WP_014071631.1
5	5	0.98	WP_032643388.1	WP_020883663.1	WP_025758470.1	WP_025758470.1	WP_014071751.1
5	5	0.98	WP_032643493.1	WP_020883084.1	WP_045286558.1	WP_045286558.1	WP_014071253.1
5	5	0.98	WP_032643534.1	WP_020883067.1	WP_033146169.1	WP_033146169.1	WP_014071283.1
5	5	0.98	WP_032643617.1	WP_020883028.1	WP_047959233.1	WP_047959233.1	WP_014071339.1
5	5	0.98	WP_032643640.1	WP_025203453.1	WP_025757658.1	WP_025757658.1	WP_041162268.1
5	5	0.98	WP_032643652.1	WP_014171215.1	WP_045284607.1	WP_045284607.1	WP_014071377.1
5	5	0.98	WP_032644079.1	WP_025205391.1	WP_095451934.1	WP_095451934.1	WP_014068917.1
5	5	0.98	WP_032644124.1	WP_013095643.1	WP_008501923.1	WP_008501923.1	WP_014068960.1
5	5	0.98	WP_032644140.1	WP_014168717.1	WP_095449666.1	WP_095449666.1	WP_014068983.1
5	5	0.98	WP_032644146.1	WP_040018672.1	WP_025756832.1	WP_025756832.1	WP_014068988.1
5	5	0.98	WP_032644289.1	WP_020882775.1	WP_155031889.1	WP_155031889.1	WP_014072422.1
5	5	0.98	WP_032644353.1	WP_014172210.1	WP_014172210.1	WP_014172210.1	WP_014072359.1
5	5	0.98	WP_032644407.1	WP_014168056.1	WP_045286233.1	WP_045286233.1	WP_014068353.1
5	5	0.98	WP_032644505.1	WP_040018436.1	WP_025759609.1	WP_025759609.1	WP_014068460.1
5	5	0.98	WP_032644538.1	WP_020884602.1	WP_025758061.1	WP_025758061.1	WP_014072069.1
5	5	0.98	WP_032644574.1	WP_014171956.1	WP_008503041.1	WP_008503041.1	WP_014072109.1
5	5	0.98	WP_032644578.1	WP_040018209.1	WP_155031825.1	WP_155031825.1	WP_014072117.1
5	5	0.98	WP_032644584.1	WP_025202851.1	WP_155031828.1	WP_155031828.1	WP_014072127.1
5	5	0.98	WP_032644684.1	WP_040018225.1	WP_025758967.1	WP_025758967.1	WP_014072162.1
5	5	0.98	WP_032644766.1	WP_020882866.1	WP_059385436.1	WP_059385436.1	WP_014072238.1
5	5	0.98	WP_032644770.1	WP_040019225.1	WP_059385439.1	WP_059385439.1	WP_014072242.1
5	5	0.98	WP_032644794.1	WP_040019213.1	WP_025757550.1	WP_025757550.1	WP_014072274.1
5	5	0.98	WP_045890490.1	WP_020884884.1	WP_032672410.1	WP_032672410.1	WP_014069493.1
5	5	0.98	WP_077064024.1	WP_020884090.1	WP_095440625.1	WP_095440625.1	WP_014070330.1
5	5	0.98	WP_077064060.1	WP_020884832.1	WP_094918135.1	WP_094918135.1	WP_014069564.1
5	5	0.98	WP_077064190.1	WP_040017757.1	WP_025756859.1	WP_025756859.1	WP_014070618.1
5	5	0.98	WP_077064368.1	WP_014170427.1	WP_155031303.1	WP_155031303.1	WP_014070518.1
5	5	0.98	WP_077064435.1	WP_006178691.1	WP_023309292.1	WP_023309292.1	WP_014071850.1
5	5	0.98	WP_100249851.1	WP_088202968.1	WP_155031225.1	WP_155031225.1	WP_088201863.1
5	5	0.98	WP_167513843.1	WP_025205793.1	WP_167514955.1	WP_167514955.1	WP_162271220.1
5	5	0.979	WP_000886595.1	WP_000886595.1	WP_000886595.1	WP_000886595.1	WP_014070900.1
5	5	0.979	WP_003858593.1	WP_014169183.1	WP_003858593.1	WP_003858593.1	WP_014069388.1
5	5	0.979	WP_003861486.1	WP_014170998.1	WP_003861486.1	WP_003861486.1	WP_014071107.1
5	5	0.979	WP_006809843.1	WP_006809843.1	WP_006809843.1	WP_006809843.1	WP_014069166.1
5	5	0.979	WP_008500212.1	WP_014170993.1	WP_008500212.1	WP_008500212.1	WP_014071103.1
5	5	0.979	WP_008500315.1	WP_008500315.1	WP_008500315.1	WP_008500315.1	WP_014070860.1
5	5	0.979	WP_008501504.1	WP_014171743.1	WP_014885345.1	WP_014885345.1	WP_014071862.1
5	5	0.979	WP_008501817.1	WP_020883958.1	WP_155031876.1	WP_155031876.1	WP_014072360.1
5	5	0.979	WP_008502236.1	WP_020884159.1	WP_025756418.1	WP_025756418.1	WP_014070273.1
5	5	0.979	WP_008502780.1	WP_014170452.1	WP_008502780.1	WP_008502780.1	WP_014070544.1
5	5	0.979	WP_008502791.1	WP_014170441.1	WP_025756561.1	WP_025756561.1	WP_014070533.1
5	5	0.979	WP_008503141.1	WP_003862645.1	WP_008503141.1	WP_008503141.1	WP_014071847.1
5	5	0.979	WP_008503324.1	WP_014168863.1	WP_025756182.1	WP_025756182.1	WP_014069119.1
5	5	0.979	WP_015572623.1	WP_015572623.1	WP_015572623.1	WP_015572623.1	WP_015572623.1
5	5	0.979	WP_023310371.1	WP_014168604.1	WP_025758011.1	WP_025758011.1	WP_014068873.1
5	5	0.979	WP_023344704.1	WP_020882998.1	WP_047959258.1	WP_047959258.1	WP_014071383.1
5	5	0.979	WP_032638402.1	WP_020885246.1	WP_025756226.1	WP_025756226.1	WP_014069071.1
5	5	0.979	WP_032638413.1	WP_025204997.1	WP_155030760.1	WP_155030760.1	WP_014069076.1
5	5	0.979	WP_032638500.1	WP_014168878.1	WP_155030776.1	WP_155030776.1	WP_014069133.1
5	5	0.979	WP_032638645.1	WP_020885145.1	WP_155030796.1	WP_155030796.1	WP_014069215.1
5	5	0.979	WP_032638745.1	WP_014169065.1	WP_155030829.1	WP_155030829.1	WP_014069265.1
5	5	0.979	WP_032638890.1	WP_020884975.1	WP_155030856.1	WP_155030856.1	WP_014069359.1
5	5	0.979	WP_032638937.1	WP_020884957.1	WP_155030861.1	WP_155030861.1	WP_014069394.1
5	5	0.979	WP_032639082.1	WP_040016991.1	WP_155030891.1	WP_155030891.1	WP_014069474.1
5	5	0.979	WP_032639111.1	WP_040017004.1	WP_155030897.1	WP_155030897.1	WP_014069488.1
5	5	0.979	WP_032639153.1	WP_040017019.1	WP_047958115.1	WP_047958115.1	WP_014069507.1
5	5	0.979	WP_032639187.1	WP_014169348.1	WP_047958139.1	WP_047958139.1	WP_014069548.1
5	5	0.979	WP_032639287.1	WP_040017062.1	WP_095440930.1	WP_095440930.1	WP_014069597.1
5	5	0.979	WP_032639386.1	WP_032677828.1	WP_095451671.1	WP_095451671.1	WP_014069657.1
5	5	0.979	WP_032639792.1	WP_014169638.1	WP_025759337.1	WP_025759337.1	WP_014069848.1
5	5	0.979	WP_032639989.1	WP_020884340.1	WP_013096923.1	WP_013096923.1	WP_014069966.1
5	5	0.979	WP_032640034.1	WP_040017316.1	WP_155031077.1	WP_155031077.1	WP_014069988.1
5	5	0.979	WP_032640094.1	WP_014169834.1	WP_059385263.1	WP_059385263.1	WP_014070022.1
5	5	0.979	WP_032640323.1	WP_014169971.1	WP_155031145.1	WP_155031145.1	WP_014070220.1
5	5	0.979	WP_032640429.1	WP_020884259.1	WP_025757989.1	WP_025757989.1	WP_014070156.1
5	5	0.979	WP_032640739.1	WP_020884056.1	WP_025758877.1	WP_025758877.1	WP_014070362.1
5	5	0.979	WP_032640940.1	WP_014170350.1	WP_025756605.1	WP_025756605.1	WP_014070482.1
5	5	0.979	WP_032640965.1	WP_040017642.1	WP_025756588.1	WP_025756588.1	WP_014070494.1
5	5	0.979	WP_032641070.1	WP_020882346.1	WP_025756525.1	WP_025756525.1	WP_014070573.1
5	5	0.979	WP_032641285.1	WP_040017782.1	WP_095441572.1	WP_095441572.1	WP_014070679.1
5	5	0.979	WP_032641326.1	WP_014170653.1	WP_155031385.1	WP_155031385.1	WP_014070703.1
5	5	0.979	WP_032641594.1	WP_040017937.1	WP_094919014.1	WP_094919014.1	WP_014070910.1
5	5	0.979	WP_032641641.1	WP_020883262.1	WP_047959054.1	WP_047959054.1	WP_014070937.1
5	5	0.979	WP_032641745.1	WP_020883209.1	WP_155031483.1	WP_155031483.1	WP_014071006.1
5	5	0.979	WP_032641922.1	WP_032678599.1	WP_059385214.1	WP_059385214.1	WP_014071085.1
5	5	0.979	WP_032641957.1	WP_040018032.1	WP_059385208.1	WP_059385208.1	WP_014071105.1
5	5	0.979	WP_032641983.1	WP_014171015.1	WP_045285787.1	WP_045285787.1	WP_014071123.1
5	5	0.979	WP_032642030.1	WP_040018053.1	WP_025757144.1	WP_025757144.1	WP_014071153.1
5	5	0.979	WP_032642069.1	WP_040018820.1	WP_155031721.1	WP_155031721.1	WP_014071778.1
5	5	0.979	WP_032642218.1	WP_040018790.1	WP_155031770.1	WP_155031770.1	WP_014071823.1
5	5	0.979	WP_032643038.1	WP_020883838.1	WP_047959333.1	WP_047959333.1	WP_014071515.1
5	5	0.979	WP_032643045.1	WP_014171363.1	WP_126800626.1	WP_126800626.1	WP_014071519.1
5	5	0.979	WP_032643097.1	WP_014171397.1	WP_094918893.1	WP_094918893.1	WP_014071551.1
5	5	0.979	WP_032643109.1	WP_040018906.1	WP_059384992.1	WP_059384992.1	WP_014071557.1
5	5	0.979	WP_032643276.1	WP_014171521.1	WP_045285853.1	WP_045285853.1	WP_014071666.1
5	5	0.979	WP_032643555.1	WP_020883060.1	WP_047959202.1	WP_047959202.1	WP_014071297.1
5	5	0.979	WP_032643576.1	WP_040018120.1	WP_155031551.1	WP_155031551.1	WP_014071310.1
5	5	0.979	WP_032643581.1	WP_020883047.1	WP_155031553.1	WP_155031553.1	WP_014071312.1
5	5	0.979	WP_032643619.1	WP_014171173.1	WP_047959234.1	WP_047959234.1	WP_014071340.1
5	5	0.979	WP_032643654.1	WP_014171218.1	WP_025757639.1	WP_025757639.1	WP_014071380.1
5	5	0.979	WP_032643658.1	WP_025203444.1	WP_059386024.1	WP_059386024.1	WP_014071385.1
5	5	0.979	WP_032643659.1	WP_032678704.1	WP_025757629.1	WP_025757629.1	WP_014071386.1
5	5	0.979	WP_032643907.1	WP_040018527.1	WP_155030636.1	WP_155030636.1	WP_014068713.1
5	5	0.979	WP_032644066.1	WP_014168630.1	WP_025756754.1	WP_025756754.1	WP_014068901.1
5	5	0.979	WP_032644097.1	WP_040018644.1	WP_059385840.1	WP_059385840.1	WP_014068934.1
5	5	0.979	WP_032644135.1	WP_020882619.1	WP_023334576.1	WP_023334576.1	WP_014068976.1
5	5	0.979	WP_032644253.1	WP_040018323.1	WP_155031893.1	WP_155031893.1	WP_014072448.1
5	5	0.979	WP_032644312.1	WP_014172238.1	WP_047959731.1	WP_047959731.1	WP_014072395.1
5	5	0.979	WP_032644481.1	WP_014168134.1	WP_155030532.1	WP_155030532.1	WP_014068428.1
5	5	0.979	WP_032644526.1	WP_020882978.1	WP_155031801.1	WP_155031801.1	WP_014072046.1
5	5	0.979	WP_032644550.1	WP_014171927.1	WP_155031817.1	WP_155031817.1	WP_014072082.1
5	5	0.979	WP_032644552.1	WP_020884592.1	WP_155031955.1	WP_155031955.1	WP_014072084.1
5	5	0.979	WP_032644565.1	WP_014171946.1	WP_025758088.1	WP_025758088.1	WP_014072100.1
5	5	0.979	WP_032644592.1	WP_040018218.1	WP_047959626.1	WP_047959626.1	WP_014072142.1
5	5	0.979	WP_032644676.1	WP_014172018.1	WP_095452270.1	WP_095452270.1	WP_014072172.1
5	5	0.979	WP_032644747.1	WP_032679402.1	WP_025757891.1	WP_025757891.1	WP_014068567.1
5	5	0.979	WP_032644752.1	WP_014168267.1	WP_155030570.1	WP_155030570.1	WP_014068572.1
5	5	0.979	WP_045890144.1	WP_014169993.1	WP_025756376.1	WP_025756376.1	WP_014070236.1
5	5	0.979	WP_045890332.1	WP_014171570.1	WP_013098667.1	WP_013098667.1	WP_014071700.1
5	5	0.979	WP_045890820.1	WP_052445472.1	WP_244956333.1	WP_244956333.1	WP_049796688.1
5	5	0.979	WP_077064186.1	WP_040017762.1	WP_123072414.1	WP_123072414.1	WP_074392890.1
5	5	0.979	WP_077064252.1	WP_040018427.1	WP_059386728.1	WP_059386728.1	WP_014068436.1
5	5	0.979	WP_077064260.1	WP_040018376.1	WP_155030502.1	WP_155030502.1	WP_014068332.1
5	5	0.979	WP_077064388.1	WP_020882918.1	WP_155030607.1	WP_155030607.1	WP_014068655.1
5	5	0.979	WP_100249860.1	WP_123266851.1	WP_095441644.1	WP_095441644.1	WP_128738929.1
5	5	0.979	WP_168112406.1	WP_168112406.1	WP_168112406.1	WP_168112406.1	WP_168162139.1
5	5	0.978	WP_001138117.1	WP_001138117.1	WP_001138117.1	WP_001138117.1	WP_001138115.1
5	5	0.978	WP_003856022.1	WP_014168329.1	WP_000218355.1	WP_000218355.1	WP_014068631.1
5	5	0.978	WP_008499539.1	WP_040018930.1	WP_094918859.1	WP_094918859.1	WP_014071484.1
5	5	0.978	WP_008502057.1	WP_014168550.1	WP_008502057.1	WP_008502057.1	WP_014068818.1
5	5	0.978	WP_010428735.1	WP_020884961.1	WP_014831116.1	WP_014831116.1	WP_014069387.1
5	5	0.978	WP_023309349.1	WP_020883531.1	WP_025756701.1	WP_025756701.1	WP_014071940.1
5	5	0.978	WP_023309359.1	WP_014171816.1	WP_025756692.1	WP_025756692.1	WP_014071952.1
5	5	0.978	WP_023325580.1	WP_080765207.1	WP_014884418.1	WP_014884418.1	WP_014070880.1
5	5	0.978	WP_023616141.1	WP_023616141.1	WP_023616141.1	WP_023616141.1	WP_014069901.1
5	5	0.978	WP_024906484.1	WP_025203004.1	WP_025758524.1	WP_025758524.1	WP_014071800.1
5	5	0.978	WP_024909023.1	WP_014169568.1	WP_045284997.1	WP_045284997.1	WP_041162037.1
5	5	0.978	WP_024909720.1	WP_040017773.1	WP_047958944.1	WP_047958944.1	WP_014070664.1
5	5	0.978	WP_024909868.1	WP_008500504.1	WP_008500504.1	WP_008500504.1	WP_003859937.1
5	5	0.978	WP_032638496.1	WP_014168876.1	WP_047957885.1	WP_047957885.1	WP_014069131.1
5	5	0.978	WP_032638522.1	WP_020885198.1	WP_025756163.1	WP_025756163.1	WP_014069143.1
5	5	0.978	WP_032638561.1	WP_020885178.1	WP_025756143.1	WP_025756143.1	WP_014069170.1
5	5	0.978	WP_032638635.1	WP_020885149.1	WP_155030793.1	WP_155030793.1	WP_014069209.1
5	5	0.978	WP_032638798.1	WP_014169088.1	WP_045286208.1	WP_045286208.1	WP_014069289.1
5	5	0.978	WP_032638872.1	WP_014169141.1	WP_155030854.1	WP_155030854.1	WP_014069346.1
5	5	0.978	WP_032638886.1	WP_020884977.1	WP_059386048.1	WP_059386048.1	WP_014069356.1
5	5	0.978	WP_032638993.1	WP_020884933.1	WP_025757243.1	WP_025757243.1	WP_014069425.1
5	5	0.978	WP_032639235.1	WP_025204565.1	WP_025756025.1	WP_025756025.1	WP_041162025.1
5	5	0.978	WP_032639388.1	WP_040017096.1	WP_155030958.1	WP_155030958.1	WP_014069658.1
5	5	0.978	WP_032639705.1	WP_020884658.1	WP_095449538.1	WP_095449538.1	WP_014069808.1
5	5	0.978	WP_032639743.1	WP_032670452.1	WP_045284972.1	WP_045284972.1	WP_041162214.1
5	5	0.978	WP_032639773.1	WP_014169633.1	WP_008500737.1	WP_008500737.1	WP_014069842.1
5	5	0.978	WP_032640009.1	WP_014169789.1	WP_025758346.1	WP_025758346.1	WP_014069977.1
5	5	0.978	WP_032640035.1	WP_040017317.1	WP_155031078.1	WP_155031078.1	WP_014069989.1
5	5	0.978	WP_032640239.1	WP_040017445.1	WP_025756391.1	WP_025756391.1	WP_014070241.1
5	5	0.978	WP_032640444.1	WP_020884262.1	WP_047958474.1	WP_047958474.1	WP_014070149.1
5	5	0.978	WP_032640446.1	WP_040017363.1	WP_045284860.1	WP_045284860.1	WP_041162057.1
5	5	0.978	WP_032640533.1	WP_014169847.1	WP_155031093.1	WP_155031093.1	WP_014070037.1
5	5	0.978	WP_032640872.1	WP_014170312.1	WP_095451211.1	WP_095451211.1	WP_014070457.1
5	5	0.978	WP_032640961.1	WP_020882444.1	WP_047958820.1	WP_047958820.1	WP_014070490.1
5	5	0.978	WP_032640997.1	WP_040017647.1	WP_155031302.1	WP_155031302.1	WP_014070513.1
5	5	0.978	WP_032641084.1	WP_006175913.1	WP_155031316.1	WP_155031316.1	WP_014070580.1
5	5	0.978	WP_032641351.1	WP_025203835.1	WP_025756945.1	WP_025756945.1	WP_014070718.1
5	5	0.978	WP_032641583.1	WP_032678506.1	WP_059385178.1	WP_059385178.1	WP_014070905.1
5	5	0.978	WP_032641661.1	WP_020883257.1	WP_020883257.1	WP_020883257.1	WP_014070946.1
5	5	0.978	WP_032641676.1	WP_014170850.1	WP_155031468.1	WP_155031468.1	WP_014070962.1
5	5	0.978	WP_032641731.1	WP_040017978.1	WP_155031481.1	WP_155031481.1	WP_014070996.1
5	5	0.978	WP_032641825.1	WP_014170937.1	WP_047959125.1	WP_047959125.1	WP_014071059.1
5	5	0.978	WP_032642271.1	WP_040018780.1	WP_025759858.1	WP_025759858.1	WP_014071841.1
5	5	0.978	WP_032642330.1	WP_040018750.1	WP_047959535.1	WP_047959535.1	WP_014071894.1
5	5	0.978	WP_032642397.1	WP_020883521.1	WP_025756681.1	WP_025756681.1	WP_014071965.1
5	5	0.978	WP_032642418.1	WP_003860434.1	WP_003860434.1	WP_003860434.1	WP_014071979.1
5	5	0.978	WP_032642424.1	WP_014171850.1	WP_025756665.1	WP_025756665.1	WP_014071987.1
5	5	0.978	WP_032642562.1	WP_025204337.1	WP_025758561.1	WP_025758561.1	WP_041162223.1
5	5	0.978	WP_032642680.1	WP_040017998.1	WP_155031494.1	WP_155031494.1	WP_014071045.1
5	5	0.978	WP_032643134.1	WP_040018899.1	WP_155031657.1	WP_155031657.1	WP_014071570.1
5	5	0.978	WP_032643154.1	WP_025203351.1	WP_025757041.1	WP_025757041.1	WP_014071580.1
5	5	0.978	WP_032643260.1	WP_014171513.1	WP_008499710.1	WP_008499710.1	WP_014071652.1
5	5	0.978	WP_032643272.1	WP_020883728.1	WP_128339439.1	WP_128339439.1	WP_014071660.1
5	5	0.978	WP_032643357.1	WP_014171585.1	WP_025760235.1	WP_025760235.1	WP_014071714.1
5	5	0.978	WP_032643440.1	WP_020883102.1	WP_155031518.1	WP_155031518.1	WP_014071226.1
5	5	0.978	WP_032643538.1	WP_014171118.1	WP_025758958.1	WP_025758958.1	WP_014071285.1
5	5	0.978	WP_032643578.1	WP_040018121.1	WP_155031552.1	WP_155031552.1	WP_014071311.1
5	5	0.978	WP_032643714.1	WP_020883033.1	WP_008502134.1	WP_008502134.1	WP_014071329.1
5	5	0.978	WP_032643804.1	WP_014168310.1	WP_025758256.1	WP_025758256.1	WP_014068614.1
5	5	0.978	WP_032643812.1	WP_040018462.1	WP_155030586.1	WP_155030586.1	WP_014068622.1
5	5	0.978	WP_032643864.1	WP_014168396.1	WP_025759097.1	WP_025759097.1	WP_014068684.1
5	5	0.978	WP_032644008.1	WP_032679597.1	WP_155030681.1	WP_155030681.1	WP_014068825.1
5	5	0.978	WP_032644021.1	WP_014168574.1	WP_025758033.1	WP_025758033.1	WP_014068845.1
5	5	0.978	WP_032644023.1	WP_020882545.1	WP_025758031.1	WP_025758031.1	WP_014068847.1
5	5	0.978	WP_032644025.1	WP_032679609.1	WP_094917895.1	WP_094917895.1	WP_014068850.1
5	5	0.978	WP_032644059.1	WP_040018619.1	WP_014168621.1	WP_014168621.1	WP_014068891.1
5	5	0.978	WP_032644072.1	WP_040018627.1	WP_045284792.1	WP_045284792.1	WP_014068909.1
5	5	0.978	WP_032644181.1	WP_032679233.1	WP_025758854.1	WP_025758854.1	WP_014072317.1
5	5	0.978	WP_032644236.1	WP_025202652.1	WP_047957402.1	WP_047957402.1	WP_014068255.1
5	5	0.978	WP_032644313.1	WP_014172237.1	WP_045285692.1	WP_045285692.1	WP_014072394.1
5	5	0.978	WP_032644329.1	WP_020883973.1	WP_155031883.1	WP_155031883.1	WP_014072383.1
5	5	0.978	WP_032644363.1	WP_040018287.1	WP_059386306.1	WP_059386306.1	WP_014072352.1
5	5	0.978	WP_032644447.1	WP_040018405.1	WP_045286022.1	WP_045286022.1	WP_014068390.1
5	5	0.978	WP_032644507.1	WP_014168166.1	WP_155030540.1	WP_155030540.1	WP_014068462.1
5	5	0.978	WP_032644528.1	WP_014171889.1	WP_045286886.1	WP_045286886.1	WP_014072051.1
5	5	0.978	WP_032644559.1	WP_014171939.1	WP_045285971.1	WP_045285971.1	WP_014072092.1
5	5	0.978	WP_032644588.1	WP_014171981.1	WP_059386870.1	WP_059386870.1	WP_014072137.1
5	5	0.978	WP_032644627.1	WP_014172082.1	WP_059386128.1	WP_059386128.1	WP_014072213.1
5	5	0.978	WP_032644669.1	WP_020882850.1	WP_155030548.1	WP_155030548.1	WP_014068489.1
5	5	0.978	WP_032644673.1	WP_014168199.1	WP_155030550.1	WP_155030550.1	WP_014068494.1
5	5	0.978	WP_032644701.1	WP_014168207.1	WP_025757833.1	WP_025757833.1	WP_014068505.1
5	5	0.978	WP_032644705.1	WP_014168212.1	WP_155030555.1	WP_155030555.1	WP_014068513.1
5	5	0.978	WP_032644771.1	WP_014172105.1	WP_025757514.1	WP_025757514.1	WP_014072243.1
5	5	0.978	WP_032644781.1	WP_014172118.1	WP_025757528.1	WP_025757528.1	WP_014072256.1
5	5	0.978	WP_032644806.1	WP_020882888.1	WP_095452465.1	WP_095452465.1	WP_014072287.1
5	5	0.978	WP_032644811.1	WP_025202775.1	WP_095442014.1	WP_095442014.1	WP_014072292.1
5	5	0.978	WP_077064057.1	WP_020884800.1	WP_045284708.1	WP_045284708.1	WP_014069615.1
5	5	0.978	WP_077064132.1	WP_014170707.1	WP_155031390.1	WP_155031390.1	WP_014070749.1
5	5	0.978	WP_080500341.1	WP_040018483.1	WP_021240694.1	WP_021240694.1	WP_014068662.1
5	5	0.978	WP_086379740.1	WP_088202997.1	WP_094919434.1	WP_094919434.1	WP_088201878.1
5	5	0.978	WP_100249868.1	WP_140418744.1	WP_104556610.1	WP_104556610.1	WP_128738943.1
5	5	0.978	WP_213327741.1	WP_214579162.1	WP_216689425.1	WP_216689425.1	WP_217186602.1
5	5	0.977	WP_003832760.1	WP_003832760.1	WP_003832760.1	WP_003832760.1	WP_014069964.1
5	5	0.977	WP_003862338.1	WP_004097644.1	WP_013095001.1	WP_013095001.1	WP_005132895.1
5	5	0.977	WP_008500316.1	WP_040017833.1	WP_008500316.1	WP_008500316.1	WP_014070859.1
5	5	0.977	WP_008501210.1	WP_003856813.1	WP_008501210.1	WP_008501210.1	WP_014070497.1
5	5	0.977	WP_008502159.1	WP_032669904.1	WP_025757670.1	WP_025757670.1	WP_014071351.1
5	5	0.977	WP_008502835.1	WP_014171846.1	WP_025756669.1	WP_025756669.1	WP_014071984.1
5	5	0.977	WP_008502874.1	WP_020883140.1	WP_008502874.1	WP_008502874.1	WP_014071114.1
5	5	0.977	WP_008502942.1	WP_020882965.1	WP_025758226.1	WP_025758226.1	WP_014068590.1
5	5	0.977	WP_013095829.1	WP_014168840.1	WP_008503347.1	WP_008503347.1	WP_014069095.1
5	5	0.977	WP_014882134.1	WP_020884556.1	WP_025757825.1	WP_025757825.1	WP_014072145.1
5	5	0.977	WP_014882267.1	WP_014168360.1	WP_025759063.1	WP_025759063.1	WP_014068657.1
5	5	0.977	WP_020885295.1	WP_014168507.1	WP_045286457.1	WP_045286457.1	WP_014068783.1
5	5	0.977	WP_023312571.1	WP_014171039.1	WP_025757150.1	WP_025757150.1	WP_014071147.1
5	5	0.977	WP_024906354.1	WP_014171809.1	WP_025756698.1	WP_025756698.1	WP_014071946.1
5	5	0.977	WP_024909504.1	WP_014168451.1	WP_008501342.1	WP_008501342.1	WP_014068719.1
5	5	0.977	WP_032638316.1	WP_025205098.1	WP_155030738.1	WP_155030738.1	WP_014069021.1
